Item,Quantity,Price, Link #
INDIVIDUAL ITEMS,-,-,-
Womier Coffee Cat keycaps,1,26.54 USD,https://womierkeyboard.com/products/womier-coffee-cat-143?variant=40539585740871
Akko V3 Creamy Purple Pro switches,90,33.72 USD,https://en.akkogear.com/product/akko-v3-creamy-purple-pro-switch/

ALIEXPRESS ITEMS,-,-,-
Knob,1,1.58 USD,https://www.aliexpress.com/item/1005007576522714.html
OLED Screen 128x32,1,3.68 USD,https://www.aliexpress.com/item/1005007038294972.html
DO-35 Diodes,100,1.65 USD,https://www.aliexpress.com/item/4000142272546.html
Hot swap sockets,110,15.59 USD,https://www.aliexpress.com/item/1005007476614771.html
Stabilizers (4x 2u + 1x 6.25u),7.24 USD,https://www.aliexpress.com/item/1005006528731543.html

(free shipping),-,-,-

MOUSER ITEMS,-,-,-
ESP32 S3 Devkit C1,1,13.23 USD,https://www.mouser.co.il/ProductDetail/Espressif-Systems/ESP32-S3-DevKitC-1U-N8?qs=Li%252BoUPsLEnt6p%252BOu3d2jKw%3D%3D
Rotary Encoder,1,4.68 USD,https://www.mouser.co.il/ProductDetail/688-EC11E1834403
