Designator,Mid X,Mid Y,Rotation,Layer
D1,19.05,-46.845,90.0,bottom
D10,190.5,-46.845,90.0,bottom
D11,209.55,-46.845,90.0,bottom
D12,228.6,-46.845,90.0,bottom
D13,247.65,-46.845,90.0,bottom
D14,266.7,-46.845,90.0,bottom
D15,19.05,-65.895,90.0,bottom
D16,38.1,-65.895,90.0,bottom
D17,57.15,-65.895,90.0,bottom
D18,76.2,-65.895,90.0,bottom
D19,95.25,-65.895,90.0,bottom
D2,38.1,-46.845,90.0,bottom
D20,114.3,-65.895,90.0,bottom
D21,133.35,-65.895,90.0,bottom
D22,152.4,-65.895,90.0,bottom
D23,171.45,-65.895,90.0,bottom
D24,190.5,-65.895,90.0,bottom
D25,209.55,-65.895,90.0,bottom
D26,228.6,-65.895,90.0,bottom
D27,247.65,-65.895,90.0,bottom
D28,276.225,-65.895,90.0,bottom
D29,304.8,-65.895,90.0,bottom
D3,57.15,-46.845,90.0,bottom
D30,23.8125,-84.945,90.0,bottom
D31,47.625,-84.945,90.0,bottom
D32,66.675,-84.945,90.0,bottom
D33,85.725,-84.945,90.0,bottom
D34,104.775,-84.945,90.0,bottom
D35,123.825,-84.945,90.0,bottom
D36,142.875,-84.945,90.0,bottom
D37,161.925,-84.945,90.0,bottom
D38,180.975,-84.945,90.0,bottom
D39,200.025,-84.945,90.0,bottom
D4,76.2,-46.845,90.0,bottom
D40,219.075,-84.945,90.0,bottom
D41,238.125,-84.945,90.0,bottom
D42,257.175,-84.945,90.0,bottom
D43,280.9875,-84.945,90.0,bottom
D44,304.8,-84.945,90.0,bottom
D45,26.19375,-103.995,90.0,bottom
D46,52.3875,-103.995,90.0,bottom
D47,71.4375,-103.995,90.0,bottom
D48,90.4875,-103.995,90.0,bottom
D49,109.5375,-103.995,90.0,bottom
D5,95.25,-46.845,90.0,bottom
D50,128.5875,-103.995,90.0,bottom
D51,147.6375,-103.995,90.0,bottom
D52,166.6875,-103.995,90.0,bottom
D53,185.7375,-103.995,90.0,bottom
D54,204.7875,-103.995,90.0,bottom
D55,223.8375,-103.995,90.0,bottom
D56,242.8875,-103.995,90.0,bottom
D57,273.84375,-103.995,90.0,bottom
D58,304.8,-103.995,90.0,bottom
D59,28.575,-123.045,90.0,bottom
D6,114.3,-46.845,90.0,bottom
D60,57.15,-123.045,90.0,bottom
D61,76.2,-123.045,90.0,bottom
D62,95.25,-123.045,90.0,bottom
D63,114.3,-123.045,90.0,bottom
D64,133.35,-123.045,90.0,bottom
D65,152.4,-123.045,90.0,bottom
D66,171.45,-123.045,90.0,bottom
D67,190.5,-123.045,90.0,bottom
D68,209.55,-123.045,90.0,bottom
D69,228.6,-123.045,90.0,bottom
D7,133.35,-46.845,90.0,bottom
D70,257.175,-123.045,90.0,bottom
